Crop type,Season,Year,State,District,Annual rainfall (mm),Cultivated area (hectares),Total production (tonnes),Pesticide and fertilizer used (kg/hectare),Yield (tonnes/hectare)
Cowpea,Rabi,2017-2018,Odisha,Kalahandi,1317.05,11656,19348.96,111.26,1.66
Onion,Kharif,2020-2021,Odisha,Balasore,1798.26,21342,40763.22,192.17,1.91
Maize,Kharif,2023-2024,Odisha,Jajpur,1491.04,35273,112873.6,158.98,3.2
Small Millets,Rabi,2021-2022,Odisha,Malkangiri,1306.61,10350,17905.5,235.99,1.73
Cotton,Kharif,2016-2017,Odisha,Koraput,1644.85,52761,29546.16,105.02,0.56
Mesta,Rabi,2003-2004,Odisha,Kalahandi,1222.07,12053,17476.85,87.5,1.45
Tomato,Rabi,2007-2008,Odisha,Gajapati,1627.71,15851,24252.03,195.09,1.53
Field Pea,Rabi,2023-2024,Odisha,Kalahandi,1647.67,35589,56230.62,143.75,1.58
Chilli,Rabi,2006-2007,Odisha,Kandhamal,1504.79,21574,34086.92,129.27,1.58
Wheat,Rabi,2007-2008,Odisha,Kandhamal,1498.79,18443,41312.32,186.75,2.24
Guava,Kharif,2013-2014,Odisha,Boudh,1268.43,11905,18690.85,114.91,1.57
Sugarcane,Rabi,2018-2019,Odisha,Khordha,1378.68,7366,587143.86,185.46,79.71
Cabbage,Kharif,2024-2025,Odisha,Nayagarh,1577.02,15957,28243.89,127.43,1.77
Lentil,Kharif,2009-2010,Odisha,Sambalpur,1341.38,25606,36872.64,182.79,1.44
Litchi,Kharif,2009-2010,Odisha,Dhenkanal,1288.52,21697,36233.99,231.34,1.67
Potato,Kharif,2004-2005,Odisha,Nayagarh,1544.88,17129,383004.44,173.52,22.36
Brinjal (Eggplant),Kharif,2014-2015,Odisha,Sambalpur,1493.41,6818,11999.68,192.68,1.76
Garlic,Kharif,2024-2025,Odisha,Koraput,1378.09,32095,48142.5,228.67,1.5
Niger,Kharif,2020-2021,Odisha,Khordha,1552.33,28665,47297.25,109.56,1.65
Kulthi (Horse Gram),Rabi,2007-2008,Odisha,Kandhamal,1408.6,22757,37093.91,150.47,1.63
Small Millets,Rabi,2011-2012,Odisha,Gajapati,1469.62,22276,37200.92,97.01,1.67
Niger,Kharif,2016-2017,Odisha,Nuapada,1355.88,25699,40604.42,89.39,1.58
Exotic Vegetables,Kharif,2017-2018,Odisha,Nayagarh,1281.63,36482,60560.12,127.7,1.66
Oranges & Limes,Rabi,2011-2012,Odisha,Malkangiri,1270.77,25463,40231.54,212.96,1.58
Niger,Rabi,2005-2006,Odisha,Puri,1365.52,30900,50367.0,131.47,1.63
Ragi (Finger Millet),Kharif,2017-2018,Odisha,Puri,1224.91,22966,40649.82,190.43,1.77
Field Pea,Rabi,2006-2007,Odisha,Sundargarh,1401.59,18107,30238.69,199.9,1.67
Potato,Rabi,2000-2001,Odisha,Deogarh,1357.96,20562,445784.16,100.59,21.68
Cashew,Kharif,2011-2012,Odisha,Ganjam,1574.05,500,860.0,222.16,1.72
Gourds,Kharif,2016-2017,Odisha,Boudh,1335.33,38546,67070.04,162.03,1.74
Ragi (Finger Millet),Rabi,2011-2012,Odisha,Keonjhar,1532.77,34496,54848.64,179.04,1.59
Small Millets,Kharif,2015-2016,Odisha,Balangir,1735.88,10085,15934.3,253.47,1.58
Sugarcane,Rabi,2010-2011,Odisha,Puri,1191.52,6123,478389.99,91.7,78.13
Pineapple,Kharif,2007-2008,Odisha,Malkangiri,1726.48,20058,33296.28,120.35,1.66
Banana,Kharif,2014-2015,Odisha,Nayagarh,1495.1,20367,618545.79,153.89,30.37
Biri (Black Gram),Rabi,2023-2024,Odisha,Angul,1445.14,16106,27380.2,186.51,1.7
Rice (Paddy),Kharif,2005-2006,Odisha,Sambalpur,1345.95,76129,271780.53,124.19,3.57
Small Millets,Kharif,2014-2015,Odisha,Subarnapur,1630.93,16325,27752.5,240.41,1.7
Papaya,Kharif,2015-2016,Odisha,Dhenkanal,1566.55,24213,864888.36,150.96,35.72
Coriander,Kharif,2014-2015,Odisha,Sambalpur,1573.48,19480,33116.0,141.76,1.7
Arhar (Pigeon Pea),Kharif,2001-2002,Odisha,Balasore,1539.08,10722,15225.24,96.78,1.42
Tea,Kharif,2015-2016,Odisha,Puri,1767.41,33801,53743.59,123.87,1.59
Bajra (Pearl Millet),Rabi,2019-2020,Odisha,Subarnapur,1584.65,8670,13958.7,144.45,1.61
Wheat,Rabi,2001-2002,Odisha,Kendrapara,1612.27,25617,55332.72,150.43,2.16
Jackfruit,Kharif,2017-2018,Odisha,Bhadrak,1237.64,29565,42869.25,236.91,1.45
Sugarcane,Kharif,2011-2012,Odisha,Bargarh,1185.36,7907,616508.79,174.77,77.97
Ginger,Rabi,2002-2003,Odisha,Deogarh,1350.88,26905,40088.45,241.98,1.49
Wheat,Rabi,2006-2007,Odisha,Nuapada,1558.75,4649,10646.21,119.92,2.29
Coffee,Kharif,2012-2013,Odisha,Gajapati,1851.21,21794,36831.86,226.31,1.69
Potato,Kharif,2016-2017,Odisha,Boudh,1374.89,21832,477247.52,143.6,21.86
Oil Palm,Rabi,2002-2003,Odisha,Balangir,1491.69,22359,36892.35,176.55,1.65
Wheat,Rabi,2021-2022,Odisha,Sambalpur,1297.21,15433,34878.58,179.56,2.26
Okra (Bhendi),Kharif,2014-2015,Odisha,Bargarh,1556.26,13833,21441.15,171.88,1.55
Jowar (Sorghum),Kharif,2015-2016,Odisha,Jagatsinghapur,1355.25,24046,40156.82,199.57,1.67
Mesta,Rabi,2010-2011,Odisha,Gajapati,1340.17,12476,17840.68,206.46,1.43
Guava,Rabi,2008-2009,Odisha,Gajapati,1728.73,22900,40075.0,177.74,1.75
Wheat,Rabi,2015-2016,Odisha,Kalahandi,1319.65,19275,41248.5,135.63,2.14
Sesamum (Til),Rabi,2004-2005,Odisha,Jajpur,1324.95,21342,30732.48,247.74,1.44
Guava,Kharif,2000-2001,Odisha,Koraput,1470.43,10263,14162.94,93.9,1.38
Field Pea,Kharif,2009-2010,Odisha,Subarnapur,1321.5,10457,16835.77,193.36,1.61
Mustard,Kharif,2010-2011,Odisha,Kendrapara,1567.71,22642,36453.62,246.01,1.61
Banana,Kharif,2005-2006,Odisha,Jajpur,1767.6,16901,522578.92,101.52,30.92
Mango,Rabi,2010-2011,Odisha,Khordha,1436.15,26346,40045.92,198.6,1.52
Niger,Kharif,2020-2021,Odisha,Jajpur,1593.21,20625,36712.5,120.28,1.78
Litchi,Kharif,2001-2002,Odisha,Kendrapara,1343.27,23566,32756.74,140.78,1.39
Mango,Rabi,2020-2021,Odisha,Kalahandi,1428.15,14368,24856.64,93.1,1.73
Onion,Kharif,2013-2014,Odisha,Kalahandi,1477.71,16324,25302.2,146.18,1.55
Mesta,Rabi,2022-2023,Odisha,Balasore,1512.1,25322,42794.18,103.6,1.69
Mesta,Rabi,2013-2014,Odisha,Rayagada,1647.05,15204,23566.2,195.34,1.55
Pineapple,Kharif,2014-2015,Odisha,Keonjhar,1239.46,16453,25337.62,202.58,1.54
Jackfruit,Kharif,2015-2016,Odisha,Malkangiri,1198.91,14279,23274.77,130.88,1.63
Cardamom,Rabi,2000-2001,Odisha,Gajapati,1399.91,9495,15286.95,144.75,1.61
Sweet Potato,Kharif,2024-2025,Odisha,Jagatsinghapur,1280.23,12931,22241.32,158.89,1.72
Sunflower,Kharif,2003-2004,Odisha,Cuttack,1324.17,21491,38039.07,130.28,1.77
Black Pepper,Kharif,2002-2003,Odisha,Puri,1498.07,27643,41740.93,122.49,1.51
Gourds,Rabi,2013-2014,Odisha,Jharsuguda,1350.38,17927,27069.77,143.31,1.51
Linseed,Rabi,2021-2022,Odisha,Kandhamal,1308.53,15763,27900.51,192.54,1.77
Jackfruit,Rabi,2000-2001,Odisha,Bargarh,1724.13,19478,31359.58,124.01,1.61
Bajra (Pearl Millet),Rabi,2019-2020,Odisha,Balangir,1196.34,25308,43529.76,103.96,1.72
Sweet Potato,Rabi,2002-2003,Odisha,Bargarh,1344.94,22483,34848.65,158.51,1.55
Sesamum (Til),Kharif,2007-2008,Odisha,Bargarh,1418.62,18274,29603.88,216.1,1.62
Maize,Kharif,2012-2013,Odisha,Boudh,1372.58,108542,351676.08,222.51,3.24
Gourds,Rabi,2021-2022,Odisha,Subarnapur,1442.18,19519,28302.55,173.04,1.45
Mung (Green Gram),Kharif,2014-2015,Odisha,Jagatsinghapur,1556.51,15588,28058.4,130.92,1.8
Mango,Rabi,2007-2008,Odisha,Sundargarh,1519.27,10182,15680.28,237.84,1.54
Jowar (Sorghum),Rabi,2010-2011,Odisha,Kendrapara,1379.73,28889,46222.4,237.2,1.6
Mustard,Rabi,2013-2014,Odisha,Sundargarh,1118.91,26729,45706.59,243.22,1.71
Black Pepper,Kharif,2018-2019,Odisha,Gajapati,1134.86,15673,26487.37,201.1,1.69
Groundnut,Kharif,2008-2009,Odisha,Sambalpur,1237.08,16448,26974.72,100.24,1.64
Chilli,Rabi,2003-2004,Odisha,Deogarh,1587.15,11151,18510.66,217.59,1.66
Field Pea,Kharif,2013-2014,Odisha,Nuapada,1313.21,20111,27954.29,169.92,1.39
Rice (Paddy),Kharif,2012-2013,Odisha,Puri,1457.15,117477,434664.9,180.86,3.7
Onion,Kharif,2009-2010,Odisha,Subarnapur,1407.18,32739,49763.28,95.95,1.52
Papaya,Rabi,2003-2004,Odisha,Keonjhar,1464.19,15962,561862.4,239.25,35.2
Turmeric,Kharif,2007-2008,Odisha,Jajpur,1214.88,20295,33689.7,118.5,1.66
Pineapple,Rabi,2010-2011,Odisha,Kendrapara,1234.93,12536,20935.12,252.72,1.67
Sunflower,Rabi,2015-2016,Odisha,Kendrapara,1366.29,8133,13012.8,254.78,1.6
Mustard,Kharif,2009-2010,Odisha,Khordha,1298.17,28978,43467.0,108.69,1.5
Cotton,Rabi,2011-2012,Odisha,Puri,1444.74,61236,27556.2,206.21,0.45
Cabbage,Rabi,2018-2019,Odisha,Sambalpur,1602.01,13526,22182.64,170.68,1.64
Mustard,Kharif,2017-2018,Odisha,Balangir,1506.37,27474,42584.7,153.27,1.55
Sapota,Kharif,2002-2003,Odisha,Ganjam,1397.91,19643,28875.21,97.98,1.47
Potato,Rabi,2006-2007,Odisha,Puri,1584.24,12345,276281.1,158.21,22.38
Papaya,Rabi,2020-2021,Odisha,Sambalpur,1434.68,20607,724336.05,235.14,35.15
Cabbage,Rabi,2012-2013,Odisha,Bargarh,1348.3,27528,41567.28,183.37,1.51
Oil Palm,Kharif,2022-2023,Odisha,Jagatsinghapur,1381.05,26370,40609.8,95.8,1.54
Pumpkin,Rabi,2018-2019,Odisha,Angul,1544.11,24453,42548.22,198.72,1.74
Sesamum (Til),Rabi,2011-2012,Odisha,Ganjam,1454.52,32144,48858.88,239.07,1.52
Kulthi (Horse Gram),Kharif,2007-2008,Odisha,Kandhamal,1493.5,13662,24454.98,104.22,1.79
Sweet Potato,Rabi,2003-2004,Odisha,Bargarh,1820.31,18168,25980.24,196.28,1.43
Mustard,Rabi,2015-2016,Odisha,Nayagarh,1455.57,25126,41457.9,145.52,1.65
Arhar (Pigeon Pea),Rabi,2015-2016,Odisha,Nabarangpur,1500.88,24380,39739.4,157.8,1.63
Tobacco,Kharif,2008-2009,Odisha,Sundargarh,1638.64,26336,45297.92,94.59,1.72
Rice (Paddy),Kharif,2001-2002,Odisha,Bargarh,1727.73,117498,422992.8,116.82,3.6
Arhar (Pigeon Pea),Rabi,2002-2003,Odisha,Gajapati,1429.75,18933,26884.86,113.21,1.42
Jowar (Sorghum),Rabi,2016-2017,Odisha,Angul,1438.61,16533,24138.18,167.58,1.46
Gram (Chickpea),Kharif,2024-2025,Odisha,Malkangiri,1600.37,27272,46089.68,110.09,1.69
Oil Palm,Rabi,2018-2019,Odisha,Koraput,1425.75,18495,29407.05,161.03,1.59
Pumpkin,Rabi,2023-2024,Odisha,Subarnapur,1316.39,27558,46297.44,149.03,1.68
Sugarcane,Rabi,2002-2003,Odisha,Malkangiri,1288.95,3006,236812.68,245.53,78.78
Niger,Kharif,2024-2025,Odisha,Koraput,1273.62,21103,36297.16,123.64,1.72
Bajra (Pearl Millet),Kharif,2008-2009,Odisha,Bhadrak,1656.98,14622,21348.12,184.69,1.46
Exotic Vegetables,Kharif,2010-2011,Odisha,Boudh,1416.15,18340,26042.8,157.03,1.42
Banana,Kharif,2024-2025,Odisha,Sundargarh,1442.83,19053,576162.72,107.12,30.24
Jowar (Sorghum),Kharif,2009-2010,Odisha,Nuapada,1526.73,16094,23980.06,176.38,1.49
Jute,Kharif,2004-2005,Odisha,Boudh,1390.19,32866,81836.34,216.02,2.49
Turmeric,Kharif,2004-2005,Odisha,Boudh,1411.27,34685,57923.95,148.17,1.67
Pineapple,Rabi,2006-2007,Odisha,Bhadrak,1378.99,22739,36382.4,118.59,1.6
Onion,Kharif,2016-2017,Odisha,Sambalpur,1104.7,15749,26773.3,117.89,1.7
Sesamum (Til),Rabi,2018-2019,Odisha,Bhadrak,1461.61,17972,31810.44,144.29,1.77
Ragi (Finger Millet),Kharif,2001-2002,Odisha,Bhadrak,1275.6,22042,36369.3,127.18,1.65
Sapota,Rabi,2017-2018,Odisha,Jharsuguda,1406.77,21836,35592.68,146.17,1.63
Kulthi (Horse Gram),Kharif,2022-2023,Odisha,Jajpur,1343.43,500,890.0,252.88,1.78
Garlic,Kharif,2018-2019,Odisha,Malkangiri,1218.07,21681,31654.26,133.56,1.46
Cauliflower,Kharif,2024-2025,Odisha,Gajapati,1685.74,7426,14035.14,107.4,1.89
Cowpea,Kharif,2006-2007,Odisha,Malkangiri,1402.82,21752,32628.0,157.86,1.5
Coriander,Kharif,2002-2003,Odisha,Balangir,1493.23,14430,21933.6,188.37,1.52
Arhar (Pigeon Pea),Rabi,2022-2023,Odisha,Boudh,1862.99,26923,51422.93,108.27,1.91
Tobacco,Rabi,2001-2002,Odisha,Koraput,1626.83,37085,48952.2,140.96,1.32
Oil Palm,Kharif,2022-2023,Odisha,Boudh,1560.38,34590,62262.0,227.69,1.8
Linseed,Rabi,2006-2007,Odisha,Kalahandi,1400.54,19321,25310.51,144.96,1.31
Mesta,Rabi,2014-2015,Odisha,Subarnapur,1267.15,21843,34948.8,252.57,1.6
Papaya,Kharif,2005-2006,Odisha,Sambalpur,1570.59,14335,507745.7,211.08,35.42
Rice (Paddy),Rabi,2004-2005,Odisha,Koraput,1461.39,143205,499785.45,189.1,3.49
Cardamom,Kharif,2020-2021,Odisha,Malkangiri,1845.05,21487,35883.29,162.44,1.67
Jackfruit,Kharif,2007-2008,Odisha,Khordha,1259.39,12645,20990.7,210.69,1.66
Gram (Chickpea),Rabi,2002-2003,Odisha,Sundargarh,1398.75,16285,23450.4,242.97,1.44
Cardamom,Rabi,2004-2005,Odisha,Boudh,1445.23,19521,30062.34,188.49,1.54
Groundnut,Kharif,2000-2001,Odisha,Kalahandi,1405.76,32073,53561.91,95.36,1.67
Coriander,Rabi,2018-2019,Odisha,Jharsuguda,1520.21,39501,67941.72,129.57,1.72
Bajra (Pearl Millet),Kharif,2003-2004,Odisha,Sambalpur,1484.69,31157,46735.5,141.52,1.5
Sapota,Rabi,2013-2014,Odisha,Bargarh,1498.14,8665,13950.65,111.29,1.61
Field Pea,Kharif,2010-2011,Odisha,Jajpur,1409.38,20959,32276.86,242.1,1.54
Chilli,Rabi,2017-2018,Odisha,Bargarh,1514.6,20700,37467.0,162.81,1.81
Niger,Rabi,2019-2020,Odisha,Puri,1473.56,19435,34205.6,243.14,1.76
Mango,Rabi,2008-2009,Odisha,Bhadrak,1503.38,16925,30126.5,124.6,1.78
Maize,Kharif,2020-2021,Odisha,Subarnapur,1795.09,73820,250988.0,228.33,3.4
Tea,Kharif,2003-2004,Odisha,Khordha,1705.0,28735,47125.4,189.62,1.64
Cardamom,Kharif,2015-2016,Odisha,Kalahandi,1689.4,23337,38272.68,177.67,1.64
Guava,Rabi,2013-2014,Odisha,Kendrapara,1451.7,26947,43115.2,98.1,1.6
Oranges & Limes,Kharif,2016-2017,Odisha,Khordha,1440.72,36560,57764.8,201.92,1.58
Guava,Rabi,2021-2022,Odisha,Balasore,1482.98,28776,50645.76,142.76,1.76
Ginger,Kharif,2021-2022,Odisha,Jajpur,1610.84,25578,41947.92,121.89,1.64
Mango,Kharif,2004-2005,Odisha,Khordha,1614.98,6120,10098.0,171.51,1.65
Jute,Kharif,2008-2009,Odisha,Jharsuguda,1334.44,26585,69652.7,123.53,2.62
Okra (Bhendi),Kharif,2004-2005,Odisha,Cuttack,1517.86,19059,26492.01,216.48,1.39
Cardamom,Rabi,2006-2007,Odisha,Kandhamal,1515.53,11669,18320.33,187.03,1.57
Litchi,Kharif,2010-2011,Odisha,Jharsuguda,1710.22,9488,16604.0,129.34,1.75
Chilli,Kharif,2022-2023,Odisha,Jagatsinghapur,1538.27,23293,42160.33,224.64,1.81
Mustard,Kharif,2018-2019,Odisha,Kalahandi,1734.59,29023,53112.09,162.33,1.83
Papaya,Kharif,2004-2005,Odisha,Malkangiri,1670.06,50956,1821677.0,214.76,35.75
Tea,Rabi,2018-2019,Odisha,Bargarh,1562.47,9048,15019.68,92.05,1.66
Wheat,Kharif,2002-2003,Odisha,Boudh,1438.31,19825,42822.0,123.76,2.16
Chilli,Kharif,2020-2021,Odisha,Boudh,1306.85,43100,71115.0,246.58,1.65
Cardamom,Rabi,2004-2005,Odisha,Malkangiri,1255.98,10141,15008.68,140.92,1.48
Tobacco,Kharif,2003-2004,Odisha,Mayurbhanj,1735.64,14371,23281.02,129.09,1.62
Coffee,Rabi,2010-2011,Odisha,Bargarh,1383.88,43269,73124.61,177.68,1.69
Coriander,Kharif,2013-2014,Odisha,Sundargarh,1227.66,19745,28827.7,171.09,1.46
Mango,Kharif,2022-2023,Odisha,Sundargarh,1595.62,16560,30636.0,111.7,1.85
Litchi,Rabi,2013-2014,Odisha,Kandhamal,1054.8,3255,5012.7,117.1,1.54
Wheat,Rabi,2002-2003,Odisha,Ganjam,1466.72,17249,38982.74,223.47,2.26
Niger,Rabi,2002-2003,Odisha,Jagatsinghapur,1413.76,21880,35883.2,148.16,1.64
Coconut,Kharif,2000-2001,Odisha,Rayagada,1480.34,25873,37257.12,245.03,1.44
Onion,Kharif,2011-2012,Odisha,Bhadrak,1443.5,16988,24972.36,247.91,1.47
Onion,Kharif,2021-2022,Odisha,Khordha,1440.48,23925,43304.25,148.91,1.81
Mango,Rabi,2020-2021,Odisha,Jagatsinghapur,1516.74,37445,70022.15,142.76,1.87
Biri (Black Gram),Rabi,2007-2008,Odisha,Nayagarh,1255.51,27111,38497.62,228.2,1.42
Rubber,Rabi,2016-2017,Odisha,Kandhamal,1594.4,47494,77415.22,151.17,1.63
Ragi (Finger Millet),Kharif,2016-2017,Odisha,Boudh,1231.39,21597,33259.38,123.97,1.54
Okra (Bhendi),Kharif,2004-2005,Odisha,Nabarangpur,1392.64,18493,31623.03,87.48,1.71
Banana,Kharif,2015-2016,Odisha,Nayagarh,1578.24,18129,552934.5,121.32,30.5
Gourds,Kharif,2003-2004,Odisha,Dhenkanal,1327.64,26008,35370.88,116.46,1.36
Pumpkin,Rabi,2002-2003,Odisha,Keonjhar,1450.16,17501,26251.5,212.59,1.5
Ragi (Finger Millet),Kharif,2016-2017,Odisha,Bargarh,1550.56,22743,38663.1,95.97,1.7
Biri (Black Gram),Kharif,2023-2024,Odisha,Kandhamal,1270.35,20708,34168.2,215.18,1.65
Mango,Kharif,2003-2004,Odisha,Puri,1691.42,11066,18369.56,132.45,1.66
Oranges & Limes,Kharif,2000-2001,Odisha,Bhadrak,1431.97,5515,7886.45,210.48,1.43
Sesamum (Til),Rabi,2022-2023,Odisha,Kalahandi,1284.15,25904,43518.72,235.82,1.68
Small Millets,Kharif,2020-2021,Odisha,Kendrapara,1295.89,15396,27404.88,187.61,1.78
Black Pepper,Kharif,2016-2017,Odisha,Mayurbhanj,1441.3,20089,30937.06,176.61,1.54
Cabbage,Rabi,2006-2007,Odisha,Boudh,1488.21,19726,29194.48,248.9,1.48
Gourds,Kharif,2021-2022,Odisha,Kalahandi,1447.33,27072,45210.24,247.0,1.67
Mesta,Kharif,2000-2001,Odisha,Rayagada,1185.41,29008,37130.24,158.65,1.28
Mung (Green Gram),Rabi,2000-2001,Odisha,Jajpur,1456.07,39425,62291.5,126.68,1.58
Biri (Black Gram),Rabi,2018-2019,Odisha,Keonjhar,1553.35,22748,37534.2,144.14,1.65
Sunflower,Kharif,2008-2009,Odisha,Subarnapur,1268.98,24419,41512.3,175.66,1.7
Wheat,Kharif,2017-2018,Odisha,Gajapati,1383.28,21593,50743.55,250.2,2.35
Sunflower,Kharif,2019-2020,Odisha,Nuapada,1475.33,16264,28299.36,127.15,1.74
Arhar (Pigeon Pea),Kharif,2018-2019,Odisha,Khordha,1565.29,10092,17156.4,89.44,1.7
Cabbage,Rabi,2007-2008,Odisha,Dhenkanal,1127.56,30612,47142.48,134.58,1.54
Ginger,Rabi,2022-2023,Odisha,Cuttack,1471.82,9248,16091.52,211.48,1.74
Cotton,Rabi,2009-2010,Odisha,Balangir,1441.97,34631,21124.91,178.5,0.61
Papaya,Kharif,2018-2019,Odisha,Ganjam,1342.78,13830,482390.4,160.49,34.88
Litchi,Rabi,2004-2005,Odisha,Bhadrak,1460.57,12197,18539.44,159.85,1.52
Litchi,Rabi,2018-2019,Odisha,Nayagarh,1474.19,16028,25965.36,104.85,1.62
Kulthi (Horse Gram),Kharif,2023-2024,Odisha,Bhadrak,1803.21,17070,28677.6,213.09,1.68
Sapota,Kharif,2014-2015,Odisha,Mayurbhanj,1408.95,31576,48311.28,247.97,1.53
Jowar (Sorghum),Rabi,2010-2011,Odisha,Keonjhar,1300.64,12526,19164.78,213.71,1.53
Linseed,Rabi,2012-2013,Odisha,Keonjhar,1420.71,27856,47355.2,206.83,1.7
Cauliflower,Rabi,2017-2018,Odisha,Dhenkanal,1442.87,14016,21444.48,120.85,1.53
Pineapple,Kharif,2008-2009,Odisha,Nuapada,1441.91,22316,33027.68,220.95,1.48
Papaya,Kharif,2015-2016,Odisha,Nayagarh,1501.48,21274,749270.28,180.87,35.22
Onion,Rabi,2004-2005,Odisha,Rayagada,1562.74,8868,12858.6,148.93,1.45
Exotic Vegetables,Rabi,2008-2009,Odisha,Subarnapur,1658.83,26510,43476.4,127.18,1.64
Sugarcane,Kharif,2016-2017,Odisha,Sambalpur,1519.7,10654,858392.78,193.07,80.57
Gourds,Rabi,2005-2006,Odisha,Kalahandi,1598.62,26170,41086.9,153.95,1.57
Jute,Kharif,2022-2023,Odisha,Jagatsinghapur,1677.87,22968,65918.16,222.82,2.87
Jackfruit,Kharif,2016-2017,Odisha,Kalahandi,1570.1,13806,24988.86,93.59,1.81
Oil Palm,Rabi,2023-2024,Odisha,Nayagarh,1539.15,16800,28560.0,232.05,1.7
